# Shipments,sZip,cZip,CarrierName,Weight,Charge,Estimated PARCEL$,Savings
9808,84119,41048,FedEx Freight,138,"$1,593.00 ",$162 ,"$1,430 "
15004,41048,76247,SEFL,90,"$1,623.33 ",$327 ,"$1,295 "
14108,41048,10001,PITD,129,"$1,463.01 ",$392 ,"$1,070 "
8625,N8W0A7,H3A2A5,FedEx Freight,69,"$1,272.52 ",$542 ,$730 
5035,41048,85009,ABF,70,$934.29 ,$281 ,$652 
4950,41048,85009,ABF,90,$934.29 ,$361 ,$572 
11620,41048,82730,FedEx Freight,120,$778.29 ,$238 ,$539 
6450,41048,85215,Estes,90,$763.05 ,$240 ,$522 
6633,41048,86515,Estes,120,$746.10 ,$270 ,$475 
15831,1913,75119,XPO,119,$641.61 ,$170 ,$471 
5016,41048,10466,ABF,135,$606.24 ,$140 ,$465 
11307,97124,20653,FedEx Freight,114,$742.57 ,$283 ,$459 
11924,41048,89030,FedEx Freight,110,$823.67 ,$382 ,$441 
5322,41048,93043,ABF,107,$462.30 ,$44 ,$417 
10949,N8W0A7,T0E0Y0,FedEx Freight,115,$830.45 ,$425 ,$404 
5634,41048,95322,ABF,107,$718.07 ,$316 ,$401 
12418,N8W0A7,T0K1V0,FedEx Freight,148,$945.54 ,$547 ,$397 
4893,41048,11757,ABF,75,$506.21 ,$108 ,$397 
4883,41048,41048,ABF,80,$663.00 ,$270 ,$392 
15854,1913,95304,XPO,110,$596.31 ,$228 ,$367 
6536,41048,72099,Estes,80,$401.04 ,$37 ,$363 
14378,41048,45246,PITD,106,$617.71 ,$254 ,$362 
5811,41048,97603,ABF,120,$951.71 ,$592 ,$359 
5393,41048,81224,ABF,120,$398.00 ,$38 ,$359 
8270,N8W0A7,T0M2A0,FedEx Freight,95,$711.62 ,$351 ,$359 
4997,41048,95348,ABF,120,$688.87 ,$345 ,$342 
5022,41048,98315,ABF,80,$464.88 ,$130 ,$334 
12886,41048,89030,FedEx Freight,80,$608.79 ,$278 ,$330 
8996,N8W0A7,T0P1C0,FedEx Freight,145,$858.94 ,$536 ,$322 
11073,N8W0A7,P7C1R6,FedEx Freight,98,$844.83 ,$528 ,$315 
3740,41048,24740,AVRT,75,$505.90 ,$213 ,$292 
5194,41048,58501,ABF,120,$630.09 ,$338 ,$291 
9210,60502,41048,FedEx Freight,123,$392.13 ,$106 ,$285 
5358,41048,11379,ABF,120,$536.76 ,$257 ,$278 
5252,41048,11379,ABF,120,$528.74 ,$257 ,$270 
12737,41048,84790,FedEx Freight,120,$697.13 ,$427 ,$269 
4925,41048,98315,ABF,120,$463.80 ,$196 ,$267 
8937,N8W0A7,T0G1E0,FedEx Freight,100,$633.13 ,$370 ,$262 
5071,41048,91355,ABF,70,$480.63 ,$219 ,$260 
1794,41048,37902,DAFG,133,$568.21 ,$309 ,$259 
11740,41048,54520,FedEx Freight,120,$485.20 ,$227 ,$257 
5293,41048,71998,ABF,120,$451.30 ,$194 ,$256 
7365,41048,10022,Estes,80,$548.23 ,$294 ,$253 
15862,1913,60131,XPO,102,$295.79 ,$47 ,$248 
5499,1913,38672,ABF,135,$447.47 ,$199 ,$247 
6590,41048,94613,Estes,90,$600.71 ,$356 ,$244 
5033,41048,97703,ABF,120,$762.67 ,$529 ,$233 
5198,41048,3110,ABF,80,$288.76 ,$56 ,$232 
4992,41048,84116,ABF,110,$583.00 ,$356 ,$226 
4229,41048,23882,AVRT,102,$252.60 ,$32 ,$220 
10330,N8W0A7,T0K1V0,FedEx Freight,104,$603.11 ,$385 ,$218 
5591,41048,55447,ABF,55,$358.34 ,$143 ,$215 
5435,41048,98520,ABF,90,$382.49 ,$172 ,$210 
14094,N8W0A7,T0K1V0,FedEx Freight,100,$576.97 ,$370 ,$206 
13601,49423,80210,FedEx Freight,136,$379.17 ,$177 ,$202 
4867,41048,95616,ABF,80,$590.74 ,$388 ,$201 
5327,41048,41048,ABF,126,$627.52 ,$426 ,$200 
4261,41048,45246,AVRT,128,$506.66 ,$307 ,$198 
5153,41048,10029,ABF,120,$621.18 ,$424 ,$197 
13311,41048,92870,FedEx Freight,120,$502.87 ,$306 ,$195 
5145,41048,85653,ABF,70,$458.00 ,$262 ,$195 
14662,41048,91355,RL Carriers,120,$571.27 ,$376 ,$194 
6123,41048,95966,Estes,130,$810.38 ,$616 ,$193 
5038,41048,10459,ABF,130,$363.56 ,$172 ,$190 
15846,1913,77065,XPO,122,$267.80 ,$79 ,$188 
5237,41048,95110,ABF,60,$460.15 ,$272 ,$188 
8915,N8W0A7,P7E2C3,FedEx Freight,92,$684.79 ,$496 ,$188 
8073,41048,39530,FedEx Freight,120,$426.11 ,$238 ,$187 
15555,41048,26032,WARD,120,$237.44 ,$51 ,$186 
10014,N8W0A7,L5N3C9,FedEx Freight,7,$219.45 ,$37 ,$181 
15863,1913,85353,XPO,119,$377.05 ,$196 ,$180 
9976,N8W0A7,T0J0M0,FedEx Freight,78,$467.40 ,$288 ,$178 
4998,41048,85226,ABF,70,$479.89 ,$301 ,$177 
13065,41048,97202,FedEx Freight,80,$469.86 ,$292 ,$177 
4945,41048,91203,ABF,70,$409.88 ,$234 ,$175 
15836,1913,78045,XPO,78,$286.71 ,$111 ,$175 
5799,41048,90035,ABF,90,$416.83 ,$242 ,$174 
6102,41048,92101,Estes,80,$519.10 ,$345 ,$173 
12328,N8W0A7,K7H2K1,FedEx Freight,38,$378.30 ,$205 ,$173 
4936,41048,90012,ABF,90,$430.82 ,$262 ,$168 
4935,41048,6776,ABF,120,$533.46 ,$365 ,$168 
4133,41048,33569,AVRT,120,$352.50 ,$185 ,$166 
11386,N8W0A7,T0M2A0,FedEx Freight,80,$459.49 ,$296 ,$163 
6543,41048,97062,Estes,120,$595.43 ,$433 ,$162 
5125,41048,6457,ABF,115,$415.76 ,$253 ,$162 
5770,1913,98032,ABF,136,$302.45 ,$144 ,$157 
11232,N8W0A7,T7V1V7,FedEx Freight,90,$487.54 ,$333 ,$154 
5340,41048,10457,ABF,103,$326.95 ,$172 ,$154 
6829,41048,6032,Estes,101,$245.84 ,$91 ,$154 
11017,54942,78521,FedEx Freight,136,$218.33 ,$64 ,$154 
10201,N8W0A7,N0G2W0,FedEx Freight,102,$703.46 ,$550 ,$153 
6986,41048,80435,Estes,57,$389.00 ,$235 ,$153 
4466,41048,23601,AVRT,80,$253.32 ,$102 ,$150 
4920,41048,10013,ABF,75,$466.19 ,$317 ,$148 
5137,41048,59635,ABF,120,$689.10 ,$540 ,$148 
7236,41048,98052,Estes,93,$381.91 ,$235 ,$146 
4131,41048,33635,AVRT,65,$352.50 ,$206 ,$146 
14704,1913,45005,RL Carriers,125,$240.57 ,$95 ,$144 
6139,41048,85353,Estes,90,$372.51 ,$227 ,$144 
16070,1913,33913,XPO,126,$259.65 ,$116 ,$143 
10557,N8W0A7,N0A1H0,FedEx Freight,51,$418.39 ,$275 ,$143 
6104,41048,85353,Estes,90,$371.07 ,$227 ,$143 
15748,1913,85338,XPO,100,$268.01 ,$126 ,$141 
4951,41048,89119,ABF,95,$460.15 ,$319 ,$140 
12227,37931,55317,FedEx Freight,109,$187.70 ,$46 ,$140 
15429,41048,7111,WARD,115,$229.65 ,$90 ,$138 
14578,41048,92618,RL Carriers,90,$466.06 ,$330 ,$135 
5315,41048,95811,ABF,82,$404.04 ,$268 ,$135 
8589,N8W0A7,T5L2T3,FedEx Freight,110,$543.10 ,$407 ,$135 
5107,41048,95758,ABF,70,$278.21 ,$143 ,$134 
14426,41048,11220,PITD,80,$456.41 ,$323 ,$132 
5075,41048,10458,ABF,90,$361.80 ,$231 ,$130 
5007,41048,10119,ABF,60,$466.04 ,$336 ,$129 
5065,41048,10119,ABF,65,$492.43 ,$364 ,$128 
15910,1913,2896,XPO,143,$182.91 ,$54 ,$128 
3741,41048,38002,AVRT,138,$505.90 ,$377 ,$128 
8249,N8W0A7,K4M0M7,FedEx Freight,89,$608.45 ,$480 ,$128 
857,41048,25526,DAFG,58,$197.96 ,$70 ,$127 
13038,41048,97211,FedEx Freight,90,$435.13 ,$309 ,$126 
