sZip,sState,WeekNumber,Consolidated_data,Weight,Charge,# Shipments
41048,KY,49,TN37013,22667,"$8,804.70 ",20
53142,WI,37,TX78521,10863,"$6,001.14 ",19
41048,KY,40,IN46738,8226,"$1,796.95 ",14
53142,WI,49,TX78521,10302,"$5,523.89 ",14
53142,WI,32,TX78521,9367,"$5,009.00 ",13
53142,WI,50,TX78521,8267,"$4,571.29 ",13
41048,KY,50,TN37013,15300,"$5,669.75 ",13
53142,WI,34,TX78521,8791,"$4,694.72 ",12
N8W0A7,ON,18,PQG2B0S6,1055,"$3,964.10 ",12
41048,KY,44,TN37013,27361,"$7,661.31 ",12
41048,KY,35,GA30144,2984,"$2,173.33 ",12
53142,WI,36,TX78521,12062,"$5,839.56 ",11
53142,WI,51,TX78521,7174,"$3,978.38 ",11
53142,WI,31,TX78521,4651,"$2,707.85 ",11
41048,KY,37,NV89030,24110,"$13,280.15 ",11
41048,KY,25,NV89030,15016,"$11,498.64 ",11
41048,KY,49,IN46738,3714,"$1,186.50 ",11
41048,KY,51,TN37013,6584,"$3,015.11 ",11
53142,WI,15,TX78521,13374,"$9,029.13 ",11
78501,TX,44,TX78521,17164,"$1,629.36 ",11
78501,TX,43,TX78521,11245,"$1,399.51 ",11
N8W0A7,ON,13,ONL3S3J1,2493,"$2,087.71 ",11
41048,KY,38,NV89030,10973,"$14,984.94 ",10
41048,KY,34,IN46738,2010,"$1,044.00 ",10
41048,KY,23,NV89030,8561,"$6,837.15 ",10
53142,WI,45,TX78521,4717,"$2,854.67 ",10
41048,KY,42,NV89030,11185,"$7,146.97 ",10
41048,KY,47,TN37013,4031,"$2,618.91 ",10
41048,KY,31,NV89030,15360,"$12,920.22 ",10
41048,KY,18,NV89030,12780,"$14,071.04 ",10
41048,KY,4,NV89030,9773,"$14,089.50 ",10
78501,TX,50,TX78521,7510,"$1,121.82 ",10
41048,KY,46,TN37013,13033,"$4,871.32 ",9
N8W0A7,ON,12,PQG2B0S6,1420,"$3,133.55 ",9
41048,KY,20,NV89030,18721,"$10,850.57 ",9
41048,KY,13,IN46738,7260,"$1,365.74 ",9
41048,KY,29,IN46738,9864,"$1,580.12 ",9
41048,KY,10,NV89030,13454,"$6,817.72 ",9
78501,TX,45,TX78521,38519,"$2,754.06 ",9
41048,KY,33,NV89030,13642,"$8,486.26 ",9
41048,KY,26,NV89030,18414,"$10,519.72 ",9
53142,WI,37,FL33025,12346,"$7,811.72 ",9
41048,KY,49,NV89030,7357,"$5,636.22 ",9
53142,WI,40,TX78521,11745,"$4,886.88 ",9
53142,WI,24,TX78521,7472,"$11,403.41 ",9
53142,WI,42,FL33025,8874,"$5,526.04 ",8
41048,KY,17,NV89030,6966,"$5,288.03 ",8
41048,KY,6,NV89030,17359,"$11,319.11 ",8
41048,KY,13,NV89030,12302,"$9,321.62 ",8
41048,KY,1,NV89030,6797,"$6,405.06 ",8
41048,KY,2,NV89030,7651,"$6,206.64 ",8
41048,KY,12,NV89030,8428,"$6,988.51 ",8
N8W0A7,ON,14,ONL3S3J1,2705,"$1,544.45 ",8
41048,KY,35,IN46738,2404,$832.00 ,8
N8W0A7,ON,37,ONL3S3J1,2363,"$1,330.59 ",8
53142,WI,23,TX78521,4729,"$3,469.20 ",8
41048,KY,46,NV89030,8222,"$4,464.35 ",8
41048,KY,28,NV89030,29614,"$10,709.60 ",8
41048,KY,34,NV89030,9001,"$7,224.93 ",8
41048,KY,40,NV89030,21916,"$59,764.07 ",8
N8W0A7,ON,36,ONL3R9X4,8740,"$2,603.93 ",8
41048,KY,33,AZ85338,1666,"$2,484.39 ",8
41048,KY,15,NV89030,20291,"$21,111.14 ",8
41048,KY,44,NV89030,7055,"$7,047.57 ",7
53142,WI,38,TX78521,5354,"$2,783.05 ",7
41048,KY,45,FL33025,22927,"$7,484.42 ",7
41048,KY,30,NV89119,12168,"$5,541.42 ",7
53142,WI,32,FL33025,10109,"$5,566.33 ",7
53142,WI,6,TX78521,12389,"$7,925.65 ",7
53142,WI,41,TX78521,7943,"$4,288.89 ",7
41048,KY,45,TN37013,3325,"$1,961.42 ",7
53142,WI,47,TX78521,3855,"$2,215.03 ",7
