sZip,sState,WeekNumber,Consolidated_data,Weight,Charge,# Shipments,Estimated Freight$,Savings
41048,KY,40,NV89030,21916,"$59,764.07 ",8,"$3,246 ","$56,517 "
41048,KY,15,NV89030,20291,"$21,111.14 ",8,"$3,246 ","$17,864 "
53142,WI,12,TX78521,12946,"$13,444.27 ",6,"$1,619 ","$11,825 "
41048,KY,38,NV89030,10973,"$14,984.94 ",10,"$3,246 ","$11,738 "
41048,KY,18,NV89030,12780,"$14,071.04 ",10,"$3,246 ","$10,824 "
41048,KY,37,NV89030,24110,"$13,280.15 ",11,"$3,246 ","$10,033 "
41048,KY,31,NV89030,15360,"$12,920.22 ",10,"$3,246 ","$9,673 "
41048,KY,16,NV89030,19237,"$12,384.62 ",7,"$3,246 ","$9,138 "
41048,KY,39,NV89030,13199,"$11,741.27 ",6,"$3,246 ","$8,494 "
41048,KY,25,NV89030,15016,"$11,498.64 ",11,"$3,246 ","$8,252 "
41048,KY,6,NV89030,17359,"$11,319.11 ",8,"$3,246 ","$8,072 "
41048,KY,49,TN37013,22667,"$8,804.70 ",20,$890 ,"$7,914 "
41048,KY,20,NV89030,18721,"$10,850.57 ",9,"$3,246 ","$7,604 "
41048,KY,28,NV89030,29614,"$10,709.60 ",8,"$3,246 ","$7,463 "
53142,WI,15,TX78521,13374,"$9,029.13 ",11,"$1,619 ","$7,410 "
41048,KY,26,NV89030,18414,"$10,519.72 ",9,"$3,246 ","$7,273 "
78501,TX,7,KY41048,40000,"$9,486.73 ",7,"$2,278 ","$7,208 "
41048,KY,44,TN37013,27361,"$7,661.31 ",12,$890 ,"$6,770 "
53142,WI,6,TX78521,12389,"$7,925.65 ",7,"$1,619 ","$6,306 "
41048,KY,27,NV89030,19871,"$9,368.50 ",6,"$3,246 ","$6,122 "
41048,KY,13,NV89030,12302,"$9,321.62 ",8,"$3,246 ","$6,075 "
41048,KY,22,NV89030,13490,"$8,847.15 ",6,"$3,246 ","$5,600 "
78501,TX,21,KY41048,27652,"$7,825.95 ",6,"$2,278 ","$5,547 "
41048,KY,33,NV89030,13642,"$8,486.26 ",9,"$3,246 ","$5,239 "
53142,WI,46,FL33025,10863,"$7,918.62 ",5,"$2,738 ","$5,179 "
53142,WI,37,FL33025,12346,"$7,811.72 ",9,"$2,738 ","$5,073 "
41048,KY,50,TN37013,15300,"$5,669.75 ",13,$890 ,"$4,779 "
53142,WI,37,TX78521,10863,"$6,001.14 ",19,"$1,619 ","$4,382 "
53142,WI,36,TX78521,12062,"$5,839.56 ",11,"$1,619 ","$4,220 "
41048,KY,47,NV89030,13753,"$7,414.33 ",7,"$3,246 ","$4,167 "
41048,KY,46,TN37013,13033,"$4,871.32 ",9,$890 ,"$3,980 "
53142,WI,49,TX78521,10302,"$5,523.89 ",14,"$1,619 ","$3,904 "
41048,KY,42,NV89030,11185,"$7,146.97 ",10,"$3,246 ","$3,900 "
41048,KY,10,NV89030,13454,"$6,817.72 ",9,"$3,246 ","$3,571 "
53142,WI,40,TX78521,11745,"$4,886.88 ",9,"$1,619 ","$3,267 "
41048,KY,7,NV89030,11306,"$6,269.98 ",7,"$3,246 ","$3,023 "
53142,WI,33,FL33025,10439,"$5,660.81 ",6,"$2,738 ","$2,922 "
53142,WI,32,FL33025,10109,"$5,566.33 ",7,"$2,738 ","$2,827 "
41048,KY,9,NV89030,10621,"$6,006.87 ",6,"$3,246 ","$2,760 "
78501,TX,16,KY41048,18246,"$4,955.50 ",4,"$2,278 ","$2,676 "
78501,TX,18,KY41048,16675,"$4,936.01 ",4,"$2,278 ","$2,657 "
78501,TX,20,KY41048,16092,"$4,763.06 ",5,"$2,278 ","$2,484 "
41048,KY,19,NV89030,10967,"$5,686.75 ",5,"$3,246 ","$2,440 "
78501,TX,13,KY41048,17182,"$4,512.57 ",2,"$2,278 ","$2,233 "
78501,TX,19,KY41048,13068,"$4,326.62 ",7,"$2,278 ","$2,048 "
41048,KY,43,NV89030,11157,"$5,129.68 ",6,"$3,246 ","$1,883 "
78501,TX,10,KY41048,19181,"$3,914.74 ",4,"$2,278 ","$1,636 "
78501,TX,47,KY41048,11040,"$3,354.87 ",3,"$2,278 ","$1,076 "
78501,TX,8,KY41048,10666,"$3,296.95 ",3,"$2,278 ","$1,018 "
78501,TX,15,KY41048,11361,"$3,104.34 ",2,"$2,278 ",$825 
78501,TX,14,KY41048,10144,"$3,008.41 ",4,"$2,278 ",$729 
78501,TX,30,KY41048,11181,"$3,007.22 ",2,"$2,278 ",$728 
78501,TX,22,KY41048,16850,"$2,504.21 ",2,"$2,278 ",$225 
