sZip,sState,ShipDate,Consolidated_data,Weight,Charge,# Shipments
N8W0A7,ON,5/3/2024,PQG2B0S6,976,"$3,631.65 ",11
41048,KY,9/30/2024,IN46738,4320,"$1,075.01 ",9
41048,KY,12/5/2024,TN37013,6336,"$2,640.10 ",7
41048,KY,12/4/2024,TN37013,6081,"$2,647.47 ",7
N8W0A7,ON,3/28/2024,ONL3S3J1,1380,"$1,238.65 ",6
53142,WI,9/10/2024,TX78521,2316,"$1,505.98 ",6
N8W0A7,ON,9/3/2024,ONL3R9X4,5915,"$1,845.97 ",6
53142,WI,8/6/2024,TX78521,4391,"$2,337.46 ",6
41048,KY,9/30/2024,NY13760,2329,"$2,369.71 ",6
41048,KY,12/12/2024,TN37013,10634,"$3,479.28 ",6
78501,TX,10/30/2024,TX78521,13259,"$1,034.70 ",6
N8W0A7,ON,4/1/2024,ONL3S3J1,2289,"$1,042.03 ",5
78501,TX,11/7/2024,TX78521,8127,$763.08 ,5
53142,WI,9/14/2024,TX78521,3089,"$1,676.22 ",5
53142,WI,8/5/2024,TX78521,3938,"$2,086.35 ",5
53142,WI,6/10/2024,TX78521,2444,"$1,867.12 ",5
53142,WI,8/23/2024,TX78521,3693,"$1,995.42 ",5
53142,WI,11/5/2024,TX78521,2379,"$1,424.15 ",5
N8W0A7,ON,9/16/2024,ONL3R9X4,2877,"$1,141.23 ",5
N8W0A7,ON,3/19/2024,PQG2B0S6,759,"$2,119.58 ",5
N8W0A7,ON,4/24/2024,ONL6S6H2,1663,"$1,033.31 ",5
53142,WI,10/16/2024,FL33025,4517,"$2,985.83 ",5
41048,KY,12/2/2024,IN46738,1253,$514.00 ,5
53142,WI,6/21/2024,FL33025,2192,"$2,389.36 ",5
41048,KY,9/13/2024,NC27215,8250,"$1,597.04 ",5
41048,KY,9/24/2024,TN37013,8757,"$1,210.62 ",5
41048,KY,12/3/2024,NV89030,5335,"$4,379.56 ",5
41048,KY,6/21/2024,NV89030,2893,"$3,652.68 ",5
41048,KY,11/25/2024,TN37013,3092,"$1,689.15 ",5
53142,WI,9/9/2024,TX78521,2116,"$1,193.76 ",4
53142,WI,10/2/2024,TX78521,1902,"$1,164.86 ",4
78501,TX,12/9/2024,TX78521,2871,$450.04 ,4
N8W0A7,ON,3/18/2024,PQG2B0S6,661,"$1,013.97 ",4
N8W0A7,ON,5/23/2024,ONL3S3J1,657,$753.64 ,4
N8W0A7,ON,9/11/2024,ONL3S3J1,385,$576.20 ,4
N8W0A7,ON,6/24/2024,ONL3S3J1,1762,$819.47 ,4
N8W0A7,ON,7/9/2024,ONL3S3J1,1202,$771.22 ,4
53142,WI,9/5/2024,TX78521,1958,"$1,102.10 ",4
41048,KY,8/27/2024,GA30144,1097,$746.89 ,4
41048,KY,7/24/2024,WI53142,4650,"$1,048.27 ",4
41048,KY,8/26/2024,GA30144,940,$715.54 ,4
41048,KY,2/16/2024,IN46818,3129,$527.79 ,4
41048,KY,12/5/2024,IN46738,1476,$449.78 ,4
41048,KY,10/7/2024,KY41048,2079,$359.80 ,4
53142,WI,9/9/2024,FL33025,3323,"$2,452.90 ",4
41048,KY,4/19/2024,IL60133,3309,$904.74 ,4
41048,KY,5/6/2024,IL60133,2354,$859.28 ,4
41048,KY,8/23/2024,IN46738,916,$417.60 ,4
41048,KY,8/19/2024,IN46738,859,$417.60 ,4
41048,KY,7/18/2024,IN46738,7731,"$1,038.73 ",4
41048,KY,2/22/2024,IL60133,1225,$477.72 ,4
41048,KY,9/30/2024,NC27410,6581,"$1,299.11 ",4
41048,KY,9/19/2024,IN46738,2806,$541.74 ,4
41048,KY,8/28/2024,GA30144,947,$710.90 ,4
53142,WI,9/24/2024,FL33025,2404,"$1,919.41 ",4
53142,WI,3/1/2024,KY41048,2483,$673.99 ,4
41048,KY,7/24/2024,CA92503,655,"$1,478.37 ",4
41048,KY,8/14/2024,AZ85338,710,"$1,091.80 ",4
41048,KY,2/20/2024,AZ85338,2666,"$1,659.00 ",4
53142,WI,12/6/2024,TX78521,2673,"$1,460.79 ",4
41048,KY,9/10/2024,NV89030,11655,"$3,636.41 ",4
41048,KY,3/4/2024,NV89030,1980,"$1,705.55 ",4
41048,KY,11/1/2024,TN37013,4531,"$1,538.91 ",4
41048,KY,10/24/2024,TN37013,4285,"$1,197.13 ",4
41048,KY,10/16/2024,NV89030,1225,"$2,337.48 ",4
41048,KY,11/21/2024,NV89119,6999,"$2,469.58 ",4
41048,KY,6/11/2024,TX77340,480,$519.56 ,4
41048,KY,1/25/2024,NV89030,2522,"$4,618.01 ",4
41048,KY,6/12/2024,TX77563,320,$519.56 ,4
53142,WI,4/11/2024,TX78521,3816,"$2,607.27 ",4
78501,TX,12/12/2024,TX78521,2431,$447.80 ,4
78501,TX,11/26/2024,TX78521,10607,$736.35 ,4
N8W0A7,ON,3/26/2024,ONL3S3J1,706,$643.07 ,4
53142,WI,11/20/2024,TX78521,2785,"$1,517.97 ",4
53142,WI,8/19/2024,TX78521,2819,"$1,517.07 ",4
53142,WI,9/3/2024,TX78521,7604,"$3,447.50 ",4
53142,WI,12/13/2024,TX78521,2306,"$1,280.83 ",4
78501,TX,10/25/2024,TX78521,6140,$609.41 ,4
53142,WI,12/5/2024,TX78521,3766,"$1,973.81 ",4
78501,TX,12/23/2024,TX78521,9037,$642.74 ,3
37813,TN,5/16/2024,KY41048,5825,$775.41 ,3
78501,TX,11/18/2024,TX78521,8707,$603.03 ,3
37122,TN,4/19/2024,KY41048,1482,$447.52 ,3
37122,TN,3/25/2024,KY41048,2510,$721.06 ,3
78501,TX,12/18/2024,TX78521,4236,$439.25 ,3
N8W0A7,ON,9/9/2024,ONL3S3J1,1903,$610.46 ,3
N8W0A7,ON,9/25/2024,ONL3S3J1,1057,$604.77 ,3
N8W0A7,ON,5/27/2024,ONL3S3J1,466,$549.77 ,3
N8W0A7,ON,10/18/2024,ONL3S3J1,925,$544.99 ,3
N8W0A7,ON,8/6/2024,BCV2X8G1,1077,"$1,349.43 ",3
78501,TX,7/26/2024,TX78521,1160,$340.77 ,3
78501,TX,11/1/2024,TX78521,2910,$370.42 ,3
37122,TN,1/19/2024,KY41048,1291,$486.03 ,3
N8W0A7,ON,1/26/2024,MBR3H0L3,1746,"$1,409.04 ",3
N8W0A7,ON,11/29/2024,MBR3H0L3,701,$921.78 ,3
N8W0A7,ON,1/4/2024,ONL0S1J0,1108,$714.36 ,3
N8W0A7,ON,11/26/2024,ONL0S1J0,826,$603.61 ,3
N8W0A7,ON,10/11/2024,ONL3S3J1,586,$544.40 ,3
N8W0A7,ON,8/30/2024,ONL3S3J1,1537,$620.20 ,3
N8W0A7,ON,3/22/2024,ONL3S3J1,2901,$914.27 ,3
43125,OH,5/9/2024,FL33025,979,"$1,252.95 ",3
53142,WI,7/31/2024,TX78521,1208,$721.63 ,3
53142,WI,8/2/2024,TX78521,999,$613.41 ,3
53142,WI,10/1/2024,TX78521,8906,"$3,188.97 ",3
41048,KY,10/29/2024,CT6611,270,$538.83 ,3
41048,KY,3/7/2024,FL32822,7885,"$2,406.36 ",3
53142,WI,9/17/2024,TX78521,2333,"$1,210.67 ",3
53142,WI,12/17/2024,TX78521,1775,"$1,015.21 ",3
53142,WI,12/19/2024,TX78521,1601,$897.66 ,3
53142,WI,12/12/2024,TX78521,1776,"$1,005.09 ",3
53142,WI,12/9/2024,TX78521,2863,"$1,515.26 ",3
53142,WI,11/21/2024,TX78521,1070,$697.06 ,3
53142,WI,11/14/2024,TX78521,1283,$788.28 ,3
53142,WI,11/4/2024,TX78521,1141,$727.87 ,3
53142,WI,10/28/2024,TX78521,3164,"$1,635.16 ",3
53142,WI,10/18/2024,TX78521,1389,$817.54 ,3
53142,WI,10/8/2024,TX78521,4237,"$2,224.39 ",3
53142,WI,12/18/2024,TX78521,2919,"$1,548.66 ",3
41048,KY,7/24/2024,CA91020,730,"$1,311.61 ",3
78501,TX,5/13/2024,TX78521,4386,$539.97 ,3
78501,TX,7/10/2024,TX78521,2310,$363.18 ,3
78501,TX,3/8/2024,TX78521,4793,$480.19 ,3
78501,TX,2/8/2024,TX78521,3135,$384.74 ,3
78501,TX,5/9/2024,KY41048,2424,"$1,062.54 ",3
78501,TX,4/22/2024,TX78521,1422,$344.40 ,3
78501,TX,2/29/2024,KY41048,3873,"$1,520.58 ",3
78501,TX,2/16/2024,KY41048,2874,"$1,116.05 ",3
53142,WI,12/26/2024,KY41048,1259,$396.70 ,3
78501,TX,2/5/2024,KY41048,4024,"$1,512.92 ",3
53142,WI,3/6/2024,KY41048,2339,$456.45 ,3
41048,KY,4/23/2024,CO80129,1686,"$1,658.06 ",3
53142,WI,1/19/2024,KY41048,2887,$697.10 ,3
53142,WI,12/23/2024,TX78521,2035,"$1,116.08 ",3
41048,KY,6/7/2024,CA90058,270,$837.87 ,3
78501,TX,8/16/2024,TX78521,7097,$510.50 ,3
78501,TX,9/16/2024,TX78521,8221,$595.13 ,3
78501,TX,10/2/2024,TX78521,4538,$470.44 ,3
78501,TX,10/16/2024,TX78521,8032,$598.72 ,3
78501,TX,10/10/2024,TX78521,2396,$337.91 ,3
78501,TX,10/23/2024,TX78521,2340,$341.10 ,3
41048,KY,3/19/2024,AZ85338,2573,"$1,409.27 ",3
41048,KY,12/9/2024,AZ85338,1044,$775.55 ,3
53142,WI,8/5/2024,FL33025,4608,"$2,560.37 ",3
41048,KY,7/5/2024,IN46738,940,$331.65 ,3
53142,WI,4/9/2024,TX78521,5831,"$3,795.91 ",3
41048,KY,9/4/2024,IN46738,634,$312.00 ,3
41048,KY,9/27/2024,IN46738,837,$308.40 ,3
