# Shipments,sZip,cZip,CarrierName,Weight,Charge,Estimated Freight$,Savings
13772,54942,41048,FedEx Freight,11085,"$3,034.46 ","$1,016 ","$2,017 "
2388,78501,41048,AVRT,15644,"$3,896.29 ","$2,278 ","$1,617 "
5227,41048,37013,ABF,11217,"$2,458.94 ",$890 ,"$1,568 "
2306,78501,41048,AVRT,15220,"$3,678.68 ","$2,278 ","$1,400 "
2427,78501,41048,AVRT,11985,"$2,877.20 ","$2,278 ",$598 
8021,54942,41048,FedEx Freight,10930,"$1,600.67 ","$1,016 ",$583 
2263,30542,41048,AVRT,10294,"$1,467.69 ",$918 ,$549 
2678,30542,41048,AVRT,11093,"$1,282.89 ",$918 ,$364 
10033,54942,41048,FedEx Freight,11316,"$1,340.00 ","$1,016 ",$323 
2741,78501,41048,AVRT,11235,"$2,599.21 ","$2,278 ",$320 
9484,41048,55317,FedEx Freight,10304,"$1,492.00 ","$1,221 ",$270 
2618,28273,41048,AVRT,10260,"$1,266.95 ","$1,030 ",$236 
2271,78501,41048,AVRT,10177,"$2,415.43 ","$2,278 ",$136 
9640,63045,41048,FedEx Freight,15489,$889.00 ,$832 ,$56 
10958,63045,41048,FedEx Freight,14180,$861.00 ,$832 ,$28 
7788,63045,41048,FedEx Freight,17400,$838.00 ,$832 ,$5 
