sCity,ShipDate,Consolidated_data,Weight,Charge,# Shipments
Hebron,3/20/2024,IL61602,104.5,$472.45 ,55
Hebron,4/3/2024,MI49548,470.4,$286.56 ,48
HEBRON,11/21/2024,CA92806,440,"$1,283.92 ",44
Hebron,12/4/2024,GA30024,43,$348.73 ,43
Hebron,12/18/2024,MD20876,244,$324.40 ,40
Hebron,2/8/2024,CO80112,296.4,$355.68 ,39
KENOSHA,4/16/2024,KY41048,253.5,$221.52 ,39
Hebron,12/4/2024,GA30024,303.4,$319.68 ,37
Hebron,9/20/2024,FL32832,162.8,$300.44 ,37
HEBRON,5/13/2024,NV89118,148,$664.52 ,37
Hebron,12/4/2024,GA30024,39.6,$291.96 ,36
Hebron,12/4/2024,GA30024,290.5,$302.40 ,35
HEBRON,9/20/2024,MD20876,170,$795.94 ,34
Hebron,2/15/2024,CO80112,250.8,$300.96 ,33
Hebron,2/14/2024,CA95758,244.2,$311.19 ,33
Hebron,12/18/2024,MD20876,198,$267.63 ,33
Hebron,11/11/2024,IL60133,158.4,$267.63 ,33
Hebron,12/9/2024,GA30024,105.6,$259.52 ,32
HEBRON,9/3/2024,NC28217,372,"$1,195.98 ",31
Hebron,12/9/2024,GA30024,176.7,$251.41 ,31
Hebron,10/2/2024,NY11548,319,$235.19 ,29
Hebron,2/7/2024,CO80112,215.6,$255.36 ,28
Hebron,12/5/2024,CA95377,199.36,$259.56 ,28
McAllen,10/31/2024,TX77494,196,$231.84 ,28
HEBRON,12/19/2024,WA98273,168,$602.28 ,28
Hebron,2/8/2024,FL33186,142.8,$255.36 ,28
Hebron,2/19/2024,CO80112,190,$229.00 ,25
HEBRON,9/25/2024,PA17241,149,$240.50 ,25
Hebron,3/5/2024,NJ80547,145,$228.75 ,25
Hebron,12/4/2024,GA30024,24.5,$202.75 ,25
Hebron,3/27/2024,CA91730,232.8,$254.64 ,24
Hebron,10/18/2024,CO80112,182.4,$339.36 ,24
HEBRON,10/22/2024,LA71107,144,"$1,185.12 ",24
Hebron,9/20/2024,FL32832,103.2,$194.88 ,24
Stevens Point,12/31/2024,KY41048,84,$194.64 ,24
"SOUTH PLAINFIELD,",3/22/2024,SC29730,322,$329.59 ,23
Hebron,2/19/2024,CO80112,177.1,$210.68 ,23
HEBRON,10/22/2024,WI53154,138,$674.13 ,23
