sCity,ShipDate,Consolidated_data,Weight,Charge,# Shipments,Estimated Freight$,Savings
BARTLETT,10/18/2024,FL33186,343,"$3,150.56 ",7,$119 ,"$3,030 "
Hebron,12/5/2024,TN37214,784,"$2,801.96 ",14,$735 ,"$2,066 "
HEBRON,12/23/2024,BCV1X2A1,216,"$1,827.36 ",12,$445 ,"$1,381 "
HEBRON,1/22/2024,VI3173,224,"$1,387.60 ",8,$124 ,"$1,263 "
MONTREAL,1/3/2024,KY41048,180,"$1,333.70 ",10,$126 ,"$1,206 "
HEBRON,9/3/2024,NC28217,372,"$1,195.98 ",31,$151 ,"$1,044 "
HEBRON,9/11/2024,KO17709,333.6,"$1,148.40 ",12,$171 ,$977 
AURORA,3/21/2024,AZ85210,170,"$1,040.88 ",2,$102 ,$938 
Hebron,3/21/2024,OH43068,357,$939.06 ,6,$195 ,$743 
HEBRON,10/1/2024,OK90403,305.8,"$1,043.79 ",11,$331 ,$712 
MARCUS HOOK,10/22/2024,MO63146,240,"$1,046.55 ",15,$336 ,$710 
HEBRON,9/20/2024,MD20876,170,$795.94 ,34,$130 ,$665 
HEBRON,10/30/2024,FL32835,242,$863.28 ,11,$219 ,$643 
HEBRON,5/14/2024,AZ85024,336,$866.56 ,16,$223 ,$643 
HEBRON,10/15/2024,LA70131,168,$764.40 ,8,$138 ,$626 
HEBRON,2/13/2024,AL35806,340,$784.40 ,4,$178 ,$605 
HEBRON,10/31/2024,IA52806,208,$674.18 ,13,$102 ,$571 
Hebron,2/5/2024,KY41048,204,$671.00 ,4,$130 ,$540 
Hebron,12/9/2024,VA22079,349.2,$810.08 ,4,$285 ,$524 
HEBRON,10/23/2024,NM87106,174,$653.22 ,6,$134 ,$518 
KNOXVILLE,10/30/2024,MI48310,231,$657.58 ,11,$148 ,$509 
HEBRON,12/2/2024,LA71118,220,$625.46 ,11,$119 ,$505 
Hebron,2/29/2024,SC29483,476,"$1,180.13 ",7,$683 ,$496 
HEBRON,12/18/2024,CA95650,297,$859.98 ,11,$371 ,$488 
Hebron,10/7/2024,FL32809,427.5,$763.29 ,3,$285 ,$477 
HEBRON,4/9/2024,CA90220,432,"$1,417.92 ",8,$940 ,$477 
HEBRON,2/1/2024,NC27055,240,$619.00 ,4,$177 ,$441 
HEBRON,11/4/2024,FL34986,168,$534.96 ,4,$102 ,$432 
HEBRON,10/30/2024,FL32835,153,$566.07 ,3,$138 ,$427 
HEBRON,12/31/2024,AK99507,240,$635.52 ,6,$207 ,$427 
Hebron,2/9/2024,GA30309,255,$838.75 ,5,$421 ,$417 
HEBRON,10/31/2024,IA52806,170,$518.60 ,10,$102 ,$415 
HEBRON,11/21/2024,CA92806,440,"$1,283.92 ",44,$886 ,$397 
HEBRON,4/1/2024,NV89506,216,$710.60 ,4,$315 ,$395 
HEBRON,9/19/2024,CA94043,228,$726.72 ,2,$347 ,$378 
HEBRON,9/11/2024,KO17709,153.6,$473.91 ,3,$102 ,$371 
HEBRON,10/9/2024,CA92122,234,$808.02 ,18,$437 ,$370 
HEBRON,10/9/2024,CA90040,162,$744.72 ,3,$407 ,$337 
Hebron,12/6/2024,MA17301,227,$436.04 ,2,$102 ,$333 
HEBRON,12/19/2024,WA98273,448,"$1,425.60 ",16,"$1,133 ",$292 
HEBRON,9/10/2024,CA94901,216,$517.36 ,8,$246 ,$271 
