sZip,cZip,Charge,Average Market Rate,Celing Rate
92801,33018,"$4,700.00 ","$4,352.38 ","$4,633.64 "
55421,41048,"$1,400.00 ","$1,072.69 ","$1,210.76 "
55421,41048,"$1,435.00 ","$1,072.69 ","$1,210.76 "
92503,41048,"$3,600.00 ","$3,050.67 ","$3,435.42 "
1913,91730,"$3,600.00 ","$2,441.05 ","$2,756.55 "
76177,41048,"$2,468.30 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,458.84 ","$1,397.42 ","$1,651.42 "
37931,41048,$885.84 ,$607.49 ,$821.10 
76177,41048,"$2,458.84 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,458.84 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,458.84 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,468.30 ","$1,397.42 ","$1,651.42 "
53142,41048,"$1,250.00 ",$856.36 ,"$1,033.26 "
76177,41048,"$2,458.84 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,458.84 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,458.84 ","$1,397.42 ","$1,651.42 "
37931,41048,$838.30 ,$607.49 ,$821.10 
76177,41048,"$2,468.30 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,468.30 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,468.30 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,468.30 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,468.30 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,515.60 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,515.60 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,515.60 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,515.60 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,515.60 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,506.14 ","$1,397.42 ","$1,651.42 "
37931,41048,$923.14 ,$607.49 ,$821.10 
76177,41048,"$2,506.14 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,496.68 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,496.68 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,496.68 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,496.68 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,496.68 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,496.68 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,496.68 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,496.68 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,496.68 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,496.68 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,487.22 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,487.22 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,506.14 ","$1,397.42 ","$1,651.42 "
37931,41048,$873.14 ,$607.49 ,$821.10 
76177,41048,"$2,506.14 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,496.68 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,496.68 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,487.22 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,477.76 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,477.76 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,468.30 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,458.84 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,439.92 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,449.38 ","$1,397.42 ","$1,651.42 "
37931,41048,$828.46 ,$607.49 ,$821.10 
76177,41048,"$2,430.46 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,430.46 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,421.00 ","$1,397.42 ","$1,651.42 "
76177,41048,"$2,421.00 ","$1,397.42 ","$1,651.42 "
41048,55317,"$1,494.00 ","$1,146.39 ","$1,221.56 "
37931,41048,$843.62 ,$607.49 ,$821.10 
41048,55317,"$1,700.00 ","$1,146.39 ","$1,221.56 "
41048,37013,$950.00 ,$821.59 ,$890.49 
53142,78521,"$2,400.00 ","$1,479.37 ","$1,619.05 "
53142,78521,"$2,250.00 ","$1,479.37 ","$1,619.05 "
53142,78521,"$2,250.00 ","$1,479.37 ","$1,619.05 "
41048,55344,"$1,450.00 ","$1,146.39 ","$1,221.56 "
41048,55344,"$1,550.00 ","$1,146.39 ","$1,221.56 "
41048,M9W1L2,"$1,925.00 ",$728.13 ,$779.72 
30542,41042,$950.00 ,$801.95 ,$918.65 
30542,41042,$950.00 ,$801.95 ,$918.65 
30542,41042,"$1,220.00 ",$801.95 ,$918.65 
30542,41042,"$1,000.00 ",$801.95 ,$918.65 
54942,41042,"$1,249.00 ",$954.44 ,"$1,016.71 "
54942,41042,"$1,250.00 ",$954.44 ,"$1,016.71 "
54942,41042,"$1,250.00 ",$954.44 ,"$1,016.71 "
54942,41042,"$1,350.00 ",$954.44 ,"$1,016.71 "
54942,41042,"$1,500.00 ",$954.44 ,"$1,016.71 "
54942,41042,"$1,400.00 ",$954.44 ,"$1,016.71 "
54942,41042,"$1,400.00 ",$954.44 ,"$1,016.71 "
54942,41042,"$1,400.00 ",$954.44 ,"$1,016.71 "
54942,41042,"$1,400.00 ",$954.44 ,"$1,016.71 "
54942,41042,"$1,400.00 ",$954.44 ,"$1,016.71 "
41048,46818,$725.00 ,$553.66 ,$609.17 
41048,46818,$700.00 ,$553.66 ,$609.17 
60106,41048,$975.00 ,$875.22 ,$972.63 
60106,41048,"$1,050.00 ",$875.22 ,$972.63 
60106,41048,"$1,050.00 ",$875.22 ,$972.63 
60106,41048,"$1,050.00 ",$875.22 ,$972.63 
60106,41048,"$1,050.00 ",$875.22 ,$972.63 
60106,41048,"$1,050.00 ",$875.22 ,$972.63 
60106,41048,"$1,050.00 ",$875.22 ,$972.63 
31302,41048,"$1,250.00 ",$866.71 ,$886.22 
63045,41048,"$1,040.00 ",$691.85 ,$832.36 
63045,41048,"$1,040.00 ",$691.85 ,$832.36 
63045,41048,"$1,050.00 ",$691.85 ,$832.36 
30542,41048,"$1,050.00 ",$801.95 ,$918.65 
30542,41048,"$1,050.00 ",$801.95 ,$918.65 
30542,41048,"$1,220.00 ",$801.95 ,$918.65 
30542,41048,"$1,220.00 ",$801.95 ,$918.65 
30542,41048,"$1,000.00 ",$801.95 ,$918.65 
54942,41048,"$1,249.00 ",$954.44 ,"$1,016.71 "
54942,41048,"$1,250.00 ",$954.44 ,"$1,016.71 "
54942,41048,"$1,250.00 ",$954.44 ,"$1,016.71 "
54942,41048,"$1,400.00 ",$954.44 ,"$1,016.71 "
43125,41048,$590.00 ,$505.49 ,$578.01 
49423,41048,$900.00 ,$688.35 ,$789.18 
49423,41048,$900.00 ,$688.35 ,$789.18 
49423,41048,$900.00 ,$688.35 ,$789.18 
49423,41048,$925.00 ,$688.35 ,$789.18 
49423,41048,$925.00 ,$688.35 ,$789.18 
49423,41048,$875.00 ,$688.35 ,$789.18 
92647,41048,"$3,700.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$3,700.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$3,700.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$3,700.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$3,700.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$3,700.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$3,700.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$3,700.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$3,700.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$3,700.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$3,700.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
92647,41048,"$4,485.00 ","$3,015.50 ","$3,099.74 "
53142,41048,"$1,200.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,225.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,600.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,600.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,600.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
53142,41048,"$1,350.00 ",$856.36 ,"$1,033.26 "
