# Shipments,sZip,sState,cZip,cState,Weight,Charge,preferred_loc,preferred_state,differnece_distance,Estimated $,Savings
8558,N8W0A7,ON,V5G4S1,BC,4241,"$5,158.14 ",90630,CA,873,$103.14 ,"$5,055 "
10668,N8W0A7,ON,X1A1G1,NT,266,"$3,403.43 ",54942,WI,263,$103.43 ,"$3,300 "
9412,N8W0A7,ON,V5A2X4,BC,2759,"$1,928.84 ",90630,CA,871,$102.84 ,"$1,826 "
13186,N8W0A7,ON,T0E1N0,AB,287,"$1,663.92 ",54942,WI,304,$102.92 ,"$1,561 "
1204,54942,WI,41048,KY,8501,"$2,294.60 ",N8W0A7,ON,172,$884.60 ,"$1,410 "
5658,53142,WI,98072,WA,2833,"$1,654.31 ",90630,CA,710,$263.31 ,"$1,391 "
325949,53142,WI,J2C0C6,PQ,0,"$1,429.90 ",N8W0A7,ON,216,$98.90 ,"$1,331 "
8735,N8W0A7,ON,R3H0L3,MB,1605,"$1,428.93 ",54942,WI,297,$102.93 ,"$1,326 "
11874,N8W0A7,ON,V2X8G1,BC,1592,"$1,352.00 ",90630,CA,864,$103.00 ,"$1,249 "
12390,N8W0A7,ON,V5A2X4,BC,2502,"$1,337.26 ",90630,CA,871,$103.26 ,"$1,234 "
11320,N8W0A7,ON,R3H0L3,MB,1874,"$1,329.64 ",54942,WI,297,$103.64 ,"$1,226 "
8468,N8W0A7,ON,T3E6L1,AB,609,"$1,314.34 ",90630,CA,380,$103.34 ,"$1,211 "
1675,54942,WI,41048,KY,5454,"$2,004.97 ",N8W0A7,ON,172,$884.97 ,"$1,120 "
14062,N8W0A7,ON,R0A0T0,MB,109,"$1,200.11 ",54942,WI,298,$103.11 ,"$1,097 "
9453,N8W0A7,ON,V0E2S0,BC,196,"$1,199.87 ",90630,CA,574,$102.87 ,"$1,097 "
1414,54942,WI,41048,KY,6540,"$1,959.95 ",N8W0A7,ON,172,$884.95 ,"$1,075 "
830,54942,WI,41048,KY,6305,"$1,871.95 ",N8W0A7,ON,172,$884.95 ,$987 
580,54942,WI,41048,KY,8169,"$1,863.87 ",N8W0A7,ON,172,$884.87 ,$979 
8866,N8W0A7,ON,R3J3X2,MB,85,"$1,079.89 ",54942,WI,297,$102.89 ,$977 
8746,N8W0A7,ON,R3H0L3,MB,1859,"$1,069.43 ",54942,WI,297,$103.43 ,$966 
9245,N8W0A7,ON,V9W4E8,BC,143,"$1,057.41 ",90630,CA,890,$103.41 ,$954 
12254,N8W0A7,ON,V0R1H0,BC,153,"$1,054.97 ",90630,CA,914,$102.97 ,$952 
12918,N8W0A7,ON,V0C1V0,BC,150,"$1,046.82 ",90630,CA,396,$102.82 ,$944 
9673,N8W0A7,ON,S0A2P0,SK,142,$955.41 ,54942,WI,303,$103.41 ,$852 
5777,53142,WI,98072,WA,1933,"$1,114.51 ",90630,CA,710,$263.51 ,$851 
12418,N8W0A7,ON,T0K1V0,AB,148,$945.54 ,90630,CA,383,$103.54 ,$842 
8491,N8W0A7,ON,V4G0A2,BC,684,$924.13 ,90630,CA,880,$103.13 ,$821 
8850,N8W0A7,ON,V2X8G1,BC,945,$922.12 ,90630,CA,864,$103.12 ,$819 
9011,N8W0A7,ON,V6P6M9,BC,1442,$921.53 ,90630,CA,879,$103.53 ,$818 
12126,N8W0A7,ON,V2X8G1,BC,889,$919.05 ,90630,CA,864,$103.05 ,$816 
8261,N8W0A7,ON,V7A4X5,BC,903,$919.40 ,90630,CA,884,$103.40 ,$816 
12210,N8W0A7,ON,V2N1W9,BC,125,$917.43 ,90630,CA,570,$103.43 ,$814 
7789,N8W0A7,ON,V0E1B0,BC,241,$915.15 ,90630,CA,658,$103.15 ,$812 
9906,N8W0A7,ON,T6E6B4,AB,2287,$914.73 ,54942,WI,305,$103.73 ,$811 
8435,N8W0A7,ON,V2L3G1,BC,613,$910.10 ,90630,CA,568,$103.10 ,$807 
10406,N8W0A7,ON,V2X8G1,BC,1566,$907.63 ,90630,CA,864,$103.63 ,$804 
8956,N8W0A7,ON,V0A1H0,BC,151,$900.94 ,90630,CA,506,$102.94 ,$798 
10106,N8W0A7,ON,V7L3G2,BC,612,$900.43 ,90630,CA,870,$103.43 ,$797 
10162,N8W0A7,ON,V2X8G1,BC,717,$894.70 ,90630,CA,864,$103.70 ,$791 
10334,N8W0A7,ON,V2X8G1,BC,1094,$894.70 ,90630,CA,864,$103.70 ,$791 
12524,N8W0A7,ON,V5A2X4,BC,902,$892.67 ,90630,CA,871,$103.67 ,$789 
12453,N8W0A7,ON,S0A0X0,SK,110,$887.43 ,54942,WI,304,$103.43 ,$784 
8536,N8W0A7,ON,V8C2H2,BC,252,$884.86 ,90630,CA,725,$102.86 ,$782 
11169,N8W0A7,ON,V0B2G1,BC,507,$884.65 ,90630,CA,494,$103.65 ,$781 
11004,N8W0A7,ON,V2N1W9,BC,124,$881.75 ,90630,CA,570,$103.75 ,$778 
1111,54942,WI,41048,KY,4520,"$1,655.46 ",N8W0A7,ON,172,$884.46 ,$771 
13840,N8W0A7,ON,V3Z1A1,BC,666,$866.12 ,90630,CA,862,$103.12 ,$763 
10417,N8W0A7,ON,V8J3Y1,BC,263,$866.18 ,90630,CA,746,$103.18 ,$763 
8996,N8W0A7,ON,T0P1C0,AB,145,$858.94 ,54942,WI,287,$102.94 ,$756 
7599,N8W0A7,ON,V0J3A2,BC,95,$857.68 ,90630,CA,597,$103.68 ,$754 
13775,N8W0A7,ON,V0B2G1,BC,302,$852.63 ,90630,CA,494,$103.63 ,$749 
202623,54942,WI,H3S2G5,PQ,0,$834.87 ,N8W0A7,ON,217,$88.87 ,$746 
12663,N8W0A7,ON,T0M2A0,AB,273,$831.64 ,54942,WI,309,$103.64 ,$728 
10949,N8W0A7,ON,T0E0Y0,AB,115,$830.45 ,90630,CA,443,$103.45 ,$727 
