Zone,sZip,cZip,CarrierName,Weight,charge_display,estimated_display,Savings
3,41048,38555,FEDEX,4,$16.93 ,$13.02 ,$3.91 
3,53144,41048,FEDEX,8,$14.17 ,$8.11 ,$6.06 
3,41048,37203,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,38555,FEDEX,4,$16.93 ,$13.02 ,$3.91 
3,41048,38555,FEDEX,4,$16.93 ,$13.02 ,$3.91 
3,41048,37090,FEDEX,2,$16.40 ,$8.11 ,$8.29 
3,41048,38555,FEDEX,2,$16.93 ,$8.11 ,$8.82 
3,41048,38555,FEDEX,4,$16.93 ,$13.02 ,$3.91 
2,41048,46241,FEDEX,2,$26.77 ,$8.11 ,$18.66 
3,41048,48108,FEDEX,3,$14.17 ,$8.11 ,$6.06 
3,41048,37863,FEDEX,5,$20.69 ,$12.05 ,$8.64 
3,41048,60047,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,60101,FEDEX,5,$16.84 ,$13.20 ,$3.64 
3,41048,37128,FEDEX,4,$17.26 ,$12.83 ,$4.43 
3,41048,16066,FEDEX,3,$14.17 ,$8.11 ,$6.06 
3,41048,62062,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,60090,FEDEX,5,$14.17 ,$13.05 ,$1.12 
3,41048,47620,FEDEX,7,$22.39 ,$12.56 ,$9.83 
3,41048,47620,FEDEX,7,$22.39 ,$12.56 ,$9.83 
3,41048,63026,FEDEX,1,$17.93 ,$8.11 ,$9.82 
3,41048,15017,FEDEX,2,$14.17 ,$9.62 ,$4.55 
2,41048,43207,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,37919,FEDEX,7,$14.17 ,$13.55 ,$0.62 
3,41048,16125,FEDEX,2,$16.40 ,$11.87 ,$4.53 
3,41048,15057,FEDEX,2,$16.40 ,$11.38 ,$5.02 
3,41048,15147,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,15370,FEDEX,2,$16.40 ,$8.11 ,$8.29 
3,41048,16001,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,15206,FEDEX,2,$14.17 ,$10.90 ,$3.27 
3,41048,15037,FEDEX,2,$16.40 ,$8.11 ,$8.29 
3,41048,15068,FEDEX,2,$14.17 ,$10.51 ,$3.66 
3,41048,15658,FEDEX,2,$16.40 ,$8.11 ,$8.29 
3,41048,44483,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,15147,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,44505,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,15044,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,16001,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,15205,FEDEX,3,$14.17 ,$8.11 ,$6.06 
3,41048,15131,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,44403,FEDEX,2,$16.40 ,$8.11 ,$8.29 
3,41048,44446,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,15001,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,30705,FEDEX,4,$24.47 ,$18.44 ,$6.03 
3,41048,16117,FEDEX,2,$16.40 ,$8.11 ,$8.29 
3,41048,46601,FEDEX,2,$14.22 ,$8.73 ,$5.49 
3,41048,53158,FEDEX,2,$14.22 ,$8.11 ,$6.11 
3,41048,15601,FEDEX,2,$14.17 ,$9.13 ,$5.04 
3,41048,28732,FEDEX,6,$24.94 ,$17.48 ,$7.46 
3,41048,60525,FEDEX,4,$14.22 ,$9.23 ,$4.99 
3,89030,92653,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,H4T2A1,FEDEX,5,$27.61 ,$11.78 ,$15.83 
2,41048,41042,FEDEX,2,$14.22 ,$8.11 ,$6.11 
3,41048,60477,FEDEX,2,$14.22 ,$8.11 ,$6.11 
3,41048,53177,FEDEX,2,$14.22 ,$8.11 ,$6.11 
3,41048,48307,FEDEX,2,$44.09 ,$10.30 ,$33.79 
3,41048,60018,FEDEX,1,$14.22 ,$8.11 ,$6.11 
3,41048,53223,FEDEX,3,$18.04 ,$11.97 ,$6.07 
3,41048,49316,FEDEX,2,$14.22 ,$8.11 ,$6.11 
3,41048,49093,FEDEX,2,$24.47 ,$13.18 ,$11.29 
3,41048,15215,FEDEX,10,$34.45 ,$28.26 ,$6.19 
2,41048,45202,FEDEX,1,$14.22 ,$8.11 ,$6.11 
2,41048,45209,FEDEX,4,$14.22 ,$11.89 ,$2.33 
3,41048,62523,FEDEX,2,$20.23 ,$8.11 ,$12.12 
3,41048,63146,FEDEX,2,$14.22 ,$8.11 ,$6.11 
3,41048,44224,FEDEX,2,$14.22 ,$8.11 ,$6.11 
3,41048,60089,FEDEX,2,$102.49 ,$8.11 ,$94.38 
2,41048,46037,FEDEX,2,$14.22 ,$8.71 ,$5.51 
3,41048,44654,FEDEX,4,$19.65 ,$12.39 ,$7.26 
3,41048,60134,FEDEX,20,$276.88 ,$65.98 ,$210.90 
3,41048,15644,FEDEX,2,$16.95 ,$8.11 ,$8.84 
3,41048,48108,FEDEX,3,$17.41 ,$8.11 ,$9.30 
2,41048,41048,FEDEX,2,$16.54 ,$8.11 ,$8.43 
3,41048,44106,FEDEX,6,$19.23 ,$17.66 ,$1.57 
3,41048,60035,FEDEX,1,$16.95 ,$8.11 ,$8.84 
3,41048,47720,FEDEX,1,$23.90 ,$8.11 ,$15.79 
2,41048,43219,FEDEX,2,$17.99 ,$8.11 ,$9.88 
2,41048,46074,FEDEX,3,$21.16 ,$10.94 ,$10.22 
3,41048,48312,FEDEX,6,$111.83 ,$14.43 ,$97.40 
3,41048,48083,FEDEX,1,$16.92 ,$8.11 ,$8.81 
3,41048,48335,FEDEX,2,$14.20 ,$8.11 ,$6.09 
3,41048,44264,FEDEX,9,$26.80 ,$8.53 ,$18.27 
2,41048,45241,FEDEX,4,$17.99 ,$13.86 ,$4.13 
2,41048,41048,FEDEX,55.9,$197.92 ,$175.13 ,$22.79 
3,41048,60803,FEDEX,5,$17.96 ,$12.49 ,$5.47 
3,41048,37209,FEDEX,1,$14.22 ,$8.11 ,$6.11 
3,41048,48160,FEDEX,1,$28.20 ,$8.11 ,$20.09 
3,41048,60525,FEDEX,4,$14.20 ,$9.23 ,$4.97 
3,41048,63132,FEDEX,1,$14.20 ,$8.11 ,$6.09 
2,41048,41048,FEDEX,2,$16.52 ,$8.11 ,$8.41 
3,41048,60490,FEDEX,2,$17.96 ,$8.11 ,$9.85 
3,41048,60563,FEDEX,2,$14.20 ,$8.11 ,$6.09 
3,41048,60192,FEDEX,11,$136.25 ,$16.86 ,$119.39 
3,41048,29607,FEDEX,3.1,$15.65 ,$13.76 ,$1.89 
2,41048,43319,FEDEX,2,$18.57 ,$8.11 ,$10.46 
3,41048,60062,FEDEX,2,$16.92 ,$8.11 ,$8.81 
3,41048,60091,FEDEX,6,$21.13 ,$12.65 ,$8.48 
3,41048,62906,FEDEX,3,$19.62 ,$8.96 ,$10.66 
3,41048,60131,FEDEX,6,$14.20 ,$14.01 ,$0.19 
3,41048,37064,FEDEX,3,$24.90 ,$12.75 ,$12.15 
2,41048,43017,FEDEX,1,$14.20 ,$8.11 ,$6.09 
